caller_pgmDepth,caller_pgmPartition,caller_pgmLibrary,caller_pgmName,caller_lineno,pgmDepth,pgmPartition,pgmLibrary,pgmName,pgmStepCount,pgmType,fileNo,filePartition,fileLibrary,fileName,cmdName/fileDevice,cmdPara/fileFormat,recordLength/fileStepCount,fileType,C,R,U,D,testTargetType,real_filePartition,real_ fileLibrary,real_ fileName
0,-,-,-,-,1,KOUBAI01,BAALIB,JBAA10M0,875,CL,6552,UnknownPartition,UKIKLIB,WRIEKIJ,OVRDBF,TOFILE,-,-,todo,todo,todo,todo,todo,UnknownPartition,UKIKLIB,WRIEKIJ
0,-,-,-,-,1,KOUBAI01,BAALIB,JBAA10M0,875,CL,6561,KOUBAI01,BAALIB,OUTPUT,OVRDBF,FROMFILE,-,-,todo,todo,todo,todo,todo,KOUBAI01,BAALIB,OUTPUT
0,-,-,-,-,1,KOUBAI01,BAALIB,JBAA10M0,875,CL,6562,UnknownPartition,UKIKLIB,RIEKIJ,OVRDBF,TOFILE,-,-,todo,todo,todo,todo,todo,UnknownPartition,UKIKLIB,RIEKIJ
0,-,-,-,-,1,KOUBAI01,BAALIB,JBAA10M0,875,CL,6631,KOUBAI01,BAALIB,SGCHKTBW,CHKOBJ,OBJ,-,-,todo,todo,todo,todo,todo,KOUBAI01,BAALIB,SGCHKTBW
0,-,-,-,-,1,KOUBAI01,BAALIB,JBAA10M0,875,CL,6641,KOUBAI01,BAALIB,SGCHKTBW,CRTPF,FILE,-,-,todo,todo,todo,todo,todo,KOUBAI01,BAALIB,SGCHKTBW
0,-,-,-,-,1,KOUBAI01,BAALIB,JBAA10M0,875,CL,6681,KOUBAI01,BAALIB,SGCHKTBW,CLRPFM,FILE,-,-,-,-,-,D,todo,KOUBAI01,BAALIB,SGCHKTBW
0,-,-,-,-,1,KOUBAI01,BAALIB,JBAA10M0,875,CL,6701,KOUBAI01,BAALIB,SGCHKTB,FMTDTA,INFILE,-,-,todo,todo,todo,todo,todo,KOUBAI01,BAALIB,SGCHKTB
0,-,-,-,-,1,KOUBAI01,BAALIB,JBAA10M0,875,CL,6702,KOUBAI01,BAALIB,SGCHKTBW,FMTDTA,OUTFILE,-,-,todo,todo,todo,todo,todo,KOUBAI01,BAALIB,SGCHKTBW
0,-,-,-,-,1,KOUBAI01,BAALIB,JBAA10M0,875,CL,6703,KOUBAI01,BAALIB,SGCHKTBW,FMTDTA,SRCFILE/MBR,-,-,-,-,-,-,N,KOUBAI01,BAALIB,SGCHKTBW
0,-,-,-,-,1,KOUBAI01,BAALIB,JBAA10M0,875,CL,6801,KOUBAI01,BAALIB,BAA080DK,CHKOBJ,OBJ,-,-,todo,todo,todo,todo,todo,KOUBAI01,BAALIB,BAA080DK
